event_time;symbol;timeframe;origin;signal_class;direction;signal_entry_price;signal_exit_time;signal_exit_price;signal_move_pts;signal_duration_bars;signal_result;signal_exit_reason;position_exit_time;position_exit_price;position_move_pts;position_duration_bars;position_result;position_exit_reason;executed;skip_reason;block_reason;bre_reason;atr;spread;ema_fast;slow_ma;ma_gap_pts;slow_angle_deg;vline_state;vline_dir;sw_state;sw_score;adx;di_plus;di_minus;sl;tp1;tp2;tp3;tp4;tp5
2026.01.02 03:15:00;XAUUSD;PERIOD_M5;LIVE;VALID;SELL;4349.05;2026.01.02 03:45:00;4352.09;-304.0;6;LOSS;NEXT_SIGNAL;2026.01.02 03:50:01;4352.48;-343.0;7;LOSS;REV;YES;;;;4.64;34;4348.54;4348.55;-0.3;14.0;NO_DATA;NONE;OFF;0.82;29.52;19.27;15.97;4354.86;4344.41;4339.76;4335.12;4330.47;4325.83
2026.01.02 03:45:00;XAUUSD;PERIOD_M5;LIVE;VALID;BUY;4352.09;2026.01.02 04:05:00;4347.64;-445.0;4;LOSS;NEXT_SIGNAL;2026.01.02 04:10:01;4347.66;-443.0;5;LOSS;REV;YES;;;;4.49;34;4349.03;4348.85;17.6;0.0;BEAR;SELL;OFF;0.77;18.71;20.54;18.70;4346.47;4356.58;4361.08;4365.57;4370.06;4374.56
2026.01.02 04:05:00;XAUUSD;PERIOD_M5;LIVE;VALID;SELL;4347.64;2026.01.02 04:35:00;4352.06;-442.0;6;LOSS;NEXT_SIGNAL;2026.01.02 04:40:00;4352.37;-473.0;7;LOSS;REV;YES;;;;4.49;34;4348.86;4348.93;-7.1;0.0;BEAR;SELL;OFF;0.77;14.33;19.70;22.71;4353.25;4343.15;4338.67;4334.18;4329.69;4325.20
2026.01.02 04:35:00;XAUUSD;PERIOD_M5;LIVE;VALID;BUY;4352.06;2026.01.02 06:50:00;4372.48;2042.0;27;WIN;NEXT_SIGNAL;2026.01.02 06:55:00;4372.36;2030.0;28;WIN;REV;YES;;;;3.76;34;4348.60;4348.43;16.5;14.0;BEAR;SELL;OFF;0.81;16.10;21.00;14.96;4347.36;4355.82;4359.57;4363.33;4367.09;4370.84
2026.01.02 06:50:00;XAUUSD;PERIOD_M5;LIVE;VALID;SELL;4372.48;2026.01.02 07:05:00;4377.46;-498.0;3;LOSS;NEXT_SIGNAL;2026.01.02 07:10:00;4377.82;-534.0;4;LOSS;REV;YES;;;;2.85;34;4373.66;4373.83;-17.3;0.0;BULL;BUY;OFF;0.92;31.94;18.79;17.43;4376.04;4369.63;4366.78;4363.93;4361.08;4358.23
2026.01.02 07:05:00;XAUUSD;PERIOD_M5;LIVE;VALID;BUY;4377.46;2026.01.02 08:10:00;4375.06;-240.0;13;LOSS;NEXT_SIGNAL;2026.01.02 08:15:01;4375.02;-244.0;14;LOSS;REV;YES;;;;3.00;34;4374.06;4374.04;1.3;14.0;BULL;BUY;OFF;0.88;25.58;22.81;16.74;4373.71;4380.46;4383.46;4386.46;4389.47;4392.47
2026.01.02 08:10:00;XAUUSD;PERIOD_M5;LIVE;VALID;SELL;4375.06;2026.01.02 09:35:00;4379.65;-459.0;17;LOSS;NEXT_SIGNAL;2026.01.02 09:40:00;4380.01;-495.0;18;LOSS;REV;YES;;;;2.91;34;4377.31;4377.59;-27.8;-14.0;BULL;BUY;OFF;0.87;24.01;15.66;20.33;4378.69;4372.15;4369.25;4366.34;4363.43;4360.53
2026.01.02 09:35:00;XAUUSD;PERIOD_M5;LIVE;VALID;BUY;4379.65;2026.01.02 11:30:00;4388.21;856.0;23;WIN;NEXT_SIGNAL;2026.01.02 11:35:00;4388.16;851.0;24;WIN;REV;YES;;;;3.29;34;4376.36;4375.81;55.6;0.0;BULL;BUY;OFF;0.92;22.76;17.13;12.45;4375.54;4382.94;4386.23;4389.51;4392.80;4396.09
2026.01.02 11:30:00;XAUUSD;PERIOD_M5;LIVE;VALID;SELL;4388.21;2026.01.02 12:35:00;4394.45;-624.0;13;LOSS;NEXT_SIGNAL;2026.01.02 12:40:00;4394.78;-657.0;14;LOSS;REV;YES;;;;3.88;34;4388.44;4388.57;-12.1;0.0;BULL;BUY;OFF;0.80;23.65;22.45;16.78;4393.05;4384.34;4380.46;4376.59;4372.71;4368.84
2026.01.02 12:35:00;XAUUSD;PERIOD_M5;LIVE;VALID;BUY;4394.45;2026.01.02 13:45:00;4394.23;-22.0;14;LOSS;NEXT_SIGNAL;2026.01.02 13:50:00;4394.26;-19.0;15;LOSS;REV;YES;;;;3.03;34;4389.29;4388.44;84.8;14.0;BULL;BUY;OFF;0.82;17.24;24.00;13.52;4390.66;4397.48;4400.52;4403.55;4406.58;4409.62
